Group Name,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Persons in custody in investigating trial or investigation on bail at the beginning of the year,0,0,0,0,0,72,70,44,104,84,127,114,73,77,62,75,59,61,84,81,66,92,61,51,80,24,59,122,86,206,128,139,164,82,65,45,26,4,0,0,7,14,7,16,20,37,67,52,33,18,8,15,17,5
Persons arrested during the year,137,150,83,154,102,118,76,152,71,146,99,163,101,122,106,86,108,74,116,130,118,32,64,38,56,109,156,99,35,156,242,277,238,88,250,73,43,39,17,2,0,7,12,5,6,9,10,38,39,32,14,0,9,2
Persons released by the Police or Magistrate before trials,24,19,18,46,26,6,2,0,5,0,14,0,0,0,0,2,0,1,7,0,3,34,1,0,3,0,8,3,0,2,0,30,12,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3
No. of persons in whose cases the trial were completed,25,9,86,70,85,92,67,91,86,117,146,80,109,104,103,78,68,62,93,58,58,24,59,22,29,24,177,244,111,153,110,219,137,47,40,31,39,14,5,0,2,0,5,24,0,26,40,23,20,9,7,3,0,0
No. of persons acuitted or discharged,13,4,62,45,57,73,64,52,60,88,101,57,80,80,77,60,61,62,72,43,20,24,19,22,28,15,134,206,87,129,93,211,121,35,28,19,13,2,5,0,2,0,0,18,0,15,24,13,20,9,2,0,0,4
No. of persons convicted,12,5,24,25,28,19,3,39,26,29,45,23,29,24,26,18,7,17,21,15,38,2,40,0,1,9,43,38,24,24,17,8,16,12,12,12,26,12,0,0,0,7,5,6,0,11,16,10,0,0,6,0,0,3
No. of persons in custody or on bail pending trial or investigation at the close of the year,508,401,303,301,76,96,72,52,108,104,84,127,104,73,77,62,75,261,265,226,157,115,13,150,144,80,265,284,121,428,368,311,398,127,138,39,45,26,4,0,0,0,14,12,26,20,37,67,52,33,7,8,15,1
