Group Name,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Cases pending from last year,46,38,42,28,32,20,20,15,29,26,39,37,27,31,33,23,20,25,44,37,29,24,18,15,2,6,13,19,37,93,83,53,83,69,43,7,8,4,0,1,1,3,4,7,10,10,14,11,8,8,4,5,3,5
Cases reported during the year,43,39,25,47,27,43,25,32,18,48,28,65,38,40,37,35,27,17,30,50,45,21,18,15,32,28,26,25,25,58,105,140,76,112,151,51,10,11,9,1,1,1,1,6,2,3,3,8,8,4,6,0,3,2
"No. of cases declared false,mistake of law or non-cognizable",9,3,6,8,4,5,0,0,4,0,1,2,2,3,2,0,1,1,1,1,1,4,3,4,3,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,4,0,0,0,0,0,0,0
Pending investigation or trial,47,46,38,42,28,34,20,20,22,29,26,39,36,27,31,33,23,20,25,44,37,29,24,18,15,22,6,13,19,37,93,83,53,83,69,43,7,8,4,0,1,1,3,10,4,6,10,14,11,8,8,4,6,3
Cases not detected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,21,87,9,1,2,1,0,0,0,1,2,3,1,0,1,1,3,0,0,0,0
Cases in which trial was completed,9,3,22,23,24,32,17,22,26,32,52,31,29,28,21,67,12,11,28,16,22,28,11,6,26,13,37,52,36,20,48,4,46,19,12,9,8,3,2,0,1,53,1,0,4,5,6,4,4,2,2,1,0,4
Cases acuitted or discharged,5,1,16,16,17,23,16,12,20,24,40,20,22,21,16,42,11,16,21,15,16,3,5,4,15,9,30,39,29,16,43,51,41,17,9,3,3,0,2,0,1,0,0,0,2,3,2,2,4,2,1,0,0,3
Cases convicted,4,2,6,7,7,9,1,10,6,8,12,11,7,7,5,25,1,5,7,1,6,1,6,2,11,4,7,13,7,4,5,2,5,2,3,6,5,3,0,0,0,0,0,0,4,2,5,2,0,0,1,1,0,1
