Group Name,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Cases pending from last year,1757,1710,1524,1306,1248,1352,1225,835,827,626,497,511,518,514,434,312,271,274,507,427,292,360,263,230,190,144,176,175,227,281,271,185,132,118,77,99,80,95,107,77,84,307,364,441,394,367,376,380,379,368,301,351,326,311
Cases reported during the year,1787,1399,1798,1599,1389,1591,1694,1550,1274,919,681,789,692,718,760,591,478,463,464,551,513,464,423,354,284,274,233,220,189,275,394,370,243,193,182,172,164,168,209,245,279,256,306,299,320,286,296,272,311,288,289,300,313,319
"No. of cases declared false,mistake of law or non-cognizable",722,631,867,699,761,995,723,402,425,256,174,276,230,218,209,142,132,134,231,147,153,131,107,94,46,54,31,44,27,29,35,40,36,22,47,36,41,52,67,94,109,98,124,97,98,79,90,73,0,92,0,0,0,0
Pending investigation or trial,2070,1757,1710,1524,1311,1402,1352,1225,1539,827,626,497,568,518,514,434,312,271,274,507,427,392,360,263,230,190,144,176,175,227,281,271,185,132,118,77,99,80,95,107,77,84,307,364,441,394,367,376,380,379,443,479,475,445
Cases not detected,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,5,7,1,1,5,4,7,5,0,2,3,0,2,41,70,40,43,48,36,57,33,38,41,0,56,59,56,49,57,50,70,53,56,54,68,68
Cases in which trial was completed,313,143,388,349,352,390,409,404,401,173,236,283,240,181,142,162,129,252,170,153,152,126,223,77,85,92,93,130,76,77,68,86,56,75,36,86,72,76,107,118,129,166,182,219,119,331,134,139,135,116,146,119,117,117
Cases acuitted or discharged,270,117,312,278,255,325,268,306,288,138,176,200,92,144,108,118,105,136,127,103,110,98,164,55,72,60,63,87,55,42,53,62,38,54,27,40,31,45,74,78,71,109,118,155,83,85,112,110,97,79,111,79,78,78
Cases convicted,43,26,76,71,97,65,141,98,113,35,60,83,48,37,34,44,24,116,43,50,42,28,59,22,13,32,30,43,21,35,15,24,18,21,90,46,41,31,33,40,58,157,164,64,36,86,46,29,38,37,34,40,39,39
