Group Name,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Cases pending from last year,482,426,416,436,413,372,415,426,502,477,435,426,338,279,297,284,291,302,342,375,307,296,265,232,205,212,321,635,1795,2447,2443,1467,1174,665,451,258,287,125,78,119,154,357,354,385,333,427,559,662,580,571,671,470,429,364
Cases reported during the year,723,757,679,684,659,771,701,767,711,855,842,907,853,769,370,817,713,775,731,733,738,797,741,756,755,706,679,662,702,1875,3048,2813,1661,1761,1388,1101,646,744,591,575,555,620,590,560,624,553,638,659,714,597,604,574,576,522
"No. of cases declared false,mistake of law or non-cognizable",118,89,114,135,121,150,48,50,40,52,42,56,36,40,42,35,45,41,69,48,34,42,37,19,27,17,9,4,10,6,3,13,6,15,9,7,7,10,5,6,7,12,13,12,16,13,16,12,0,11,0,0,0,0
Pending investigation or trial,482,482,426,416,436,408,371,415,441,502,477,435,378,338,279,296,284,291,302,342,375,307,296,265,232,205,212,321,635,1795,2447,2443,1467,1174,665,451,258,287,125,78,119,154,357,354,385,333,427,559,662,578,631,533,480,422
Cases not detected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,4,9,2,8,8,21,8,22,30,61,253,2,1,9,502,387,469,205,63,118,55,32,40,32,38,63,52,61,56,69,68,65,53,49,48,40
Cases in which trial was completed,217,131,442,534,474,539,626,682,707,636,695,638,613,670,545,567,599,549,650,750,684,600,599,632,639,590,703,784,711,829,591,655,613,582,591,739,420,445,459,500,526,495,536,513,503,573,540,681,543,514,496,461,477,424
Cases acuitted or discharged,126,63,244,302,268,275,316,293,334,334,340,304,310,345,268,276,314,291,332,385,386,353,392,377,416,324,461,539,509,558,500,492,433,340,318,343,264,204,212,233,208,201,211,194,303,209,279,278,239,237,219,156,168,130
Cases convicted,91,68,198,232,206,294,310,389,373,302,355,334,303,325,277,291,285,258,318,365,298,247,207,255,223,266,242,245,202,271,91,163,180,242,273,396,156,241,247,267,318,294,325,319,300,373,419,403,304,276,277,305,309,294
