Group Name,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Persons in custody in investigating trial or investigation on bail at the beginning of the year,0,0,0,0,0,268,366,286,325,282,212,140,172,154,154,109,53,110,123,143,97,77,64,41,40,50,44,86,185,168,181,189,232,304,201,163,74,60,12,7,81,97,137,194,192,175,202,144,82,81,66,66,66,30
Persons arrested during the year,206,238,231,296,248,257,266,296,317,467,412,468,292,320,305,306,236,187,167,186,191,117,89,121,66,106,83,83,60,96,239,267,251,387,527,304,151,169,77,47,31,33,43,38,121,97,67,127,100,51,44,47,39,24
Persons released by the Police or Magistrate before trials,32,36,60,88,57,17,4,25,3,4,8,2,0,3,0,1,0,10,5,6,5,5,1,4,6,10,0,1,4,3,0,55,19,0,25,22,8,3,0,0,0,0,0,5,11,11,5,12,8,1,0,4,6,27
No. of persons in whose cases the trial were completed,37,20,245,246,271,305,436,344,326,307,342,296,216,199,145,176,124,71,146,69,77,41,48,133,67,94,135,198,274,179,215,136,289,216,155,102,90,60,36,40,59,28,83,90,108,69,89,57,30,49,34,34,33,9
No. of persons acuitted or discharged,21,11,156,131,157,221,271,236,204,200,226,188,127,142,110,126,96,71,71,45,54,41,18,90,58,54,63,119,231,153,193,136,257,184,116,77,67,43,19,12,27,28,43,46,36,21,34,27,19,39,18,21,14,18
No. of persons convicted,16,9,89,115,114,84,163,99,122,107,116,108,89,57,35,50,28,57,75,24,23,17,30,43,9,40,72,79,43,26,22,2,32,32,39,25,23,17,17,28,32,21,40,44,72,48,55,30,11,10,20,13,19,6
No. of persons in custody or on bail pending trial or investigation at the close of the year,947,800,641,691,191,290,268,229,354,325,282,212,153,172,154,154,109,576,146,441,310,247,213,186,234,40,237,296,372,492,595,178,606,627,471,235,163,74,40,12,7,81,97,188,194,192,175,202,144,82,81,66,66,12
